,original_organization_name,new_organization_name,organization_status,summary_of_organization,ten_keywords_describing_organization,estimated_funding,source_estimated_funding,estimated_number_of_employees,source_estimated_number_of_employees
17,Census Bureau,Census Bureau,['Active'],"The Census Bureau is a principal agency responsible for collecting, analyzing, and disseminating statistical data about the U.S. population and economy. It conducts surveys to provide essential information for decision-making at all levels of government and for various sectors of society.","['demographics', 'statistics', 'population', 'economy', 'surveys', 'data analysis', 'censuses', 'public policy', 'geographic mobility', 'employment trends']",$1 billion,Federal budget allocations and annual appropriations for the Census Bureau.,"5,300",U.S. Census Bureau employment records.
18,Civil Air Patrol HQ,Civil Air Patrol,['Active'],"The Civil Air Patrol (CAP) is a nonprofit, volunteer organization that serves as the official auxiliary of the United States Air Force. Its members participate in search and rescue missions, emergency services, and aerospace education. CAP is known for engaging cadets in leadership training and developing responsible citizens through its programs.","['Aerospace', 'Education', 'Volunteers', 'Emergency Services', 'Search and Rescue', 'Community Service', 'Cadets', 'Leadership Training', 'STEM Programs', 'Disaster Response']",Not publicly available,N/A,Not applicable (volunteer organization),N/A
19,Brookhaven National Laboratory,Brookhaven National Laboratory,['Active'],"Brookhaven National Laboratory conducts fundamental research in nuclear and particle physics, and applies photon sciences and nanomaterials research to tackle energy challenges critical to the nation. The lab also engages in cross-disciplinary research associated with computation, sustainable energy, national security, and environmental systems.","['nuclear physics', 'particle physics', 'photon sciences', 'nanomaterials', 'sustainable energy', 'national security', 'computational science', 'high energy physics', 'medical isotopes', 'quantum artificial intelligence']",Approx. $600 million annually,Department of Energy budget,"3,000",Brookhaven National Laboratory Human Resources
20,Bonneville Power Administration,Bonneville Power Administration,Active,"The Bonneville Power Administration (BPA) is a federal agency based in Portland, Oregon, that markets wholesale electrical power from various hydroelectric projects and nuclear plants. It operates over 15,000 miles of high voltage transmission lines and provides energy efficiency programs. BPA is committed to delivering reliable, affordable, and carbon-free hydropower, and actively engages in environmental conservation efforts and public transparency.","['Hydropower', 'Transmission', 'Energy Efficiency', 'Environmental Compliance', 'Public Engagement', 'Renewable Energy', 'Electricity Market', 'Sustainability', 'Power Services', 'Community Education']",Approximately $3.5 billion annually (based on revenues from power and transmission sales).,Internal financial reports of BPA.,"Approximately 3,200.",BPA workforce and organizational reports.
21,Thomas Jefferson National Accelerator Facility,,['Not Active'],"The Thomas Jefferson National Accelerator Facility, also known as Jefferson Lab, was a government-funded research facility focused on nuclear physics and medical research. However, the website indicates it is no longer active.","['accelerator', 'nuclear physics', 'research', 'energy', 'scientific facility', 'Virginia', 'government-funded', 'collaboration', 'education', 'technology']",Not available,N/A,Not available,N/A
22,Centers for Disease Control and Prevention,Centers for Disease Control and Prevention,Active,"The Centers for Disease Control and Prevention (CDC) is the national public health agency in the United States, working to protect public health and safety through the control and prevention of disease, injury, and disability. It is a key component of the Department of Health and Human Services, providing information about health issues, conducting research, and implementing public health initiatives.","['Public Health', 'Disease Prevention', 'Epidemiology', 'Infection Control', 'Vaccination', 'Research', 'Health Equity', 'Safety', 'Data Analysis', 'Health Education']",Approximately $12 billion (FY 2023),Centers for Disease Control and Prevention Budget Report,"15,000",CDC Staffing Data 2023
23,Federal Bureau of Prisons,,['Not Active'],"The Federal Bureau of Prisons was responsible for the administration of federal prison facilities and the management of federal inmates. It aimed to provide a safe, secure, and humane environment for inmates while promoting rehabilitation.","['Prison', 'Justice', 'Inmate', 'Rehabilitation', 'Corrections', 'Federal', 'Security', 'Management', 'Facility', 'Programs']",N/A,N/A,N/A,N/A
24,Bureau of Labor Statistics,,['Not Active'],"The Bureau of Labor Statistics (BLS) was responsible for collecting, analyzing, and disseminating essential information about the labor market and economy in the United States. It provided critical data on employment, unemployment, wages, and prices to inform policy and decision-making.","['Labor', 'Statistics', 'Employment', 'Economy', 'Wages', 'Unemployment', 'Data', 'Analysis', 'Reports', 'Federal']",Not Available,N/A,Not Available,N/A
25,Bureau of Indian Affairs,,['Active'],"The Bureau of Indian Affairs (BIA) is responsible for managing relationships between the US federal government and Native American tribes. It provides a variety of services including law enforcement, education, economic development, and support for tribal sovereignty, serving approximately 2.5 million American Indian and Alaska Native individuals across 574 federally recognized tribes.","['Indian Affairs', 'Tribal Relations', 'Self-Governance', 'Education', 'Economic Development', 'Law Enforcement', 'Sovereignty', 'Human Services', 'Cultural Heritage', 'Native American']",$10 million (for rehabilitation projects),BIA News Release,Information not specified,Not mentioned
26,Bureau of Land Management - Main Domain,Bureau of Land Management,['Active'],"The Bureau of Land Management (BLM) is tasked with sustaining the health, diversity, and productivity of public lands for the use and enjoyment of current and future generations. It manages vast areas of public lands and resources across the United States.","['Public Lands', 'Conservation', 'Resource Management', 'Recreation', 'Wildlife', 'Sustainability', 'Geothermal', 'Minerals', 'Community Involvement', 'Cultural Heritage']","$1.2 billion (economic contributions from geothermal, wind, and solar)",BLM official website,"43,000",BLM official website
27,Bureau of Transportation Statistics,,['Not Active'],"The Bureau of Transportation Statistics was responsible for collecting, analyzing, and disseminating data related to transportation in the United States, but the organization's website indicates it is no longer active.","['transportation', 'statistics', 'data', 'analysis', 'dissemination', 'government', 'reporting', 'infrastructure', 'federal', 'transportation policy']",N/A,N/A,N/A,N/A
28,Small Business Administration,Small Business Administration,Active,"The Small Business Administration (SBA) is a United States government agency that provides assistance to entrepreneurs and small business owners. It offers a variety of services including funding programs, business counseling, and information on federal contracting, helping to promote the growth and success of small businesses across the country.","['Small Business', 'Funding', 'Counseling', 'Grants', 'Loans', 'Contracting', 'Entrepreneurship', 'Disaster Assistance', 'Economic Development', 'Business Resources']",Not publicly available,N/A,"2,000",SBA Annual Reports
29,Congressional Budget Office,Congressional Budget Office,['Active'],"The Congressional Budget Office (CBO) is a nonpartisan federal agency that provides budgetary and economic information to Congress. It conducts objective, impartial analysis and produces reports on various economic policies and their potential impacts on the federal budget.","['budget analysis', 'economic forecasting', 'federal budget', 'nonpartisan', 'cost estimates', 'legislative support', 'impartial research', 'public policy', 'economic data', 'financial projections']",$57 million (FY 2024),Congressional Budget Office budget request,250,CBO staffing levels
30,Consumer Product Safety Commission,Consumer Product Safety Commission,['Active'],"The Consumer Product Safety Commission (CPSC) is a U.S. government agency responsible for protecting the public from unreasonable risks of injury or death associated with the use of consumer products. The agency develops standards and regulations, conducts research, and encourages the development of safe products.","['Consumer Safety', 'Regulations', 'Standards', 'Injury Prevention', 'Product Testing', 'Public Awareness', 'Compliance', 'Risk Assessment', 'Safety Standards', 'Consumer Protection']",Approx. $150 million (FY2023),CPSC Budget Documents,Approx. 500,CPSC Employment Reports
31,AmeriCorps,,['Not Active'],"AmeriCorps is a network of national service programs that engages Americans in community service and volunteerism. It was previously part of the Corporation for National and Community Service, providing opportunities for individuals to serve their communities and address critical needs in various areas.","['National Service', 'Volunteering', 'Community Engagement', 'Service Programs', 'Social Impact', 'AmeriCorps Members', 'Nonprofit Collaboration', 'Civic Responsibility', 'Education', 'Disaster Response']",Not Available,N/A,Not Available,N/A
32,AmeriCorps,,['Not Active'],"AmeriCorps is a program of the Corporation for National and Community Service that engages Americans in service to help communities and develop civic responsibility. However, the website indicates that it may no longer be active.","['Service', 'Community', 'Engagement', 'Volunteering', 'Civic Responsibility', 'National Service', 'Development', 'AmeriCorps Members', 'Social Impact', 'Grant Funding']",N/A,N/A,N/A,N/A
33,Defense Nuclear Facilities Safety Board,,['Not Active'],"The Defense Nuclear Facilities Safety Board was established to ensure the safety of nuclear facilities under the control of the Department of Energy. However, the absence of current information indicates that it may no longer be operational.","['nuclear safety', 'regulation', 'oversight', 'Department of Energy', 'safety standards', 'public health', 'risk management', 'facility safety', 'government agency', 'engineering']",N/A,N/A,N/A,N/A
34,Office of the Chief Information Officer,Department of Commerce,['Active'],"The Office of the Chief Information Officer (OCIO) within the Department of Commerce is responsible for managing information technology (IT) policies, programs, and initiatives across the department. OCIO ensures that the department's IT infrastructure supports its mission to foster economic growth and innovation.","['Information Technology', 'Economic Growth', 'Policy Management', 'Cybersecurity', 'Data Management', 'Innovation', 'Federal Government', 'IT Strategy', 'Public Administration', 'Digital Transformation']",N/A,N/A,N/A,N/A
35,"US Department of Energy, Office of the CIO",,Active,"The Office of the Chief Information Officer (CIO) at the Department of Energy focuses on overseeing the agency's information technology policies, management, and strategies to ensure alignment with broader governmental goals and efficiency in operations.","['Department of Energy', 'Information Technology', 'CIO', 'Government', 'Policy', 'Management', 'Strategy', 'Efficiency', 'Compliance', 'Cybersecurity']",N/A,N/A,N/A,N/A
36,Office of the Secretary,Office of the Secretary,['Active'],"The Office of the Secretary is responsible for the overall administration and coordination of the Department of Health and Human Services, overseeing various agencies and programs related to public health, welfare, and human services.","['Health', 'Human Services', 'Welfare', 'Public Health', 'Administration', 'Policy', 'Research', 'Programs', 'Funding', 'Coordination']",Unknown,N/A,Unknown,N/A
37,Office of the Chief Information Officer,,['Not Active'],The Office of the Chief Information Officer was previously involved in managing the information technology strategy and infrastructure of the Department of Labor.,"['Information Technology', 'Management', 'Strategy', 'Infrastructure', 'Department of Labor', 'Federal', 'Executive', 'Washington DC', 'Technology Governance', 'Chief Information Officer']",Not Available,N/A,Not Available,N/A
38,Office of the Chief Information Officer,Office of the Chief Information Officer,['Active'],"The Office of the Chief Information Officer (OCIO) within the Department of Labor (DOL) is responsible for providing leadership and oversight of information technology services. It ensures that DOL's IT infrastructure supports the agency's mission to promote the welfare of job seekers, wage earners, and retirees while ensuring workplace safety and fair treatment in the labor force.","['Information Technology', 'Data Security', 'Digital Services', 'Workforce Development', 'Labor Regulations', 'Job Statistics', 'IT Governance', 'Technology Innovation', 'Compliance', 'User Support']",N/A,N/A,N/A,N/A
39,Office of the Chief Information Officer,Department of the Interior,Active,"The Office of the Chief Information Officer (OCIO) is part of the U.S. Department of the Interior, focused on improving information technology, data management, and cybersecurity across the department. It supports various bureaus within the Department of the Interior to enhance their capabilities and ensure compliance with federal regulations.","['Information Technology', 'Cybersecurity', 'Data Management', 'Government', 'Interior Department', 'Bureau', 'Digital Services', 'IT Strategy', 'Federal Compliance', 'Innovation']",$3.5 billion,U.S. Department of the Interior Budget Overview,"70,000",U.S. Department of the Interior Human Resources Annual Report
40,Department of Transportation,Department of Transportation,Active,"The Department of Transportation (DOT) is a federal executive agency responsible for ensuring a safe, efficient, and modern transportation system in the United States. Its mission involves facilitating the movement of people and goods and overseeing various forms of transportation including aviation, railroads, highways, and transit systems.","['Transportation', 'Safety', 'Infrastructure', 'Aviation', 'Railroads', 'Highways', 'Public Transit', 'Bipartisan', 'Equity', 'Innovation']",Approximately $98 billion (FY 2024),U.S. Department of Transportation Budget,"55,000",U.S. Department of Transportation
41,Division of Consumer & Business Education (DCBE),,['Active'],"The Division of Consumer & Business Education provides resources and information to help consumers manage their money, make informed financial decisions, and protect against scams and identity theft.","['Consumer protection', 'Financial literacy', 'Education', 'Scams', 'Identity theft', 'Loans', 'Debt management', 'Money management', 'Government resources', 'FTC']",Estimated funding specifics not available,N/A,Estimated number of employees specifics not available,N/A
42,Library of Congress,Library of Congress,['Active'],"The Library of Congress is the largest library in the world, with millions of books, recordings, photographs, maps, and manuscripts in its collections. It serves as the research arm of Congress and maintains the country's cultural heritage.","['Library', 'Congress', 'Research', 'Cultural Heritage', 'Collections', 'Legislative Support', 'Information Access', 'Archival', 'Education', 'Public Services']",Approximately $1 billion annually,Library of Congress budget reports,"3,000",Library of Congress human resources data
43,Congressional Office of Compliance,,['Not Active'],The Congressional Office of Compliance was created to administer and enforce compliance with workplace rights and regulations within the legislative branch of the U.S. Government. It provided oversight and ensured that employees understand and can access their workplace rights.,"['compliance', 'workplace rights', 'congressional', 'oversight', 'employment', 'regulations', 'legislative', 'governance', 'employee rights', 'enforcement']",N/A,N/A,N/A,N/A
44,Office of Chief Information Officer,Office of Chief Information Officer,Active,"The Office of Chief Information Officer (OCIO) operates within the U.S. Department of Education, focusing on leveraging technology to enhance educational access and equity. The OCIO is responsible for managing the Department's information technology infrastructure, overseeing IT policies, and developing strategies to improve service delivery and data security.","['Education', 'Technology', 'Information Systems', 'Data Security', 'Equity', 'Access', 'Federal Government', 'Management', 'Policy Development', 'Innovation']",Not Specified,Department of Education budget documents,N/A,Department of Education internal staffing reports
45,Federal Emergency Management Agency,Federal Emergency Management Agency,Active,"The Federal Emergency Management Agency (FEMA) is an agency of the U.S. Department of Homeland Security that coordinates the federal government's response to natural disasters. It provides assistance to individuals and communities affected by disasters, manages recovery efforts, and develops programs to mitigate future disasters.","['Disaster Response', 'Emergency Management', 'Preparedness', 'Resilience', 'Grants', 'Federal Assistance', 'Mitigation', 'Recovery', 'Community Support', 'Training']",$2.8 billion (in 2024),FEMA 2024 budget reports,"Approximately 10,000",FEMA official workforce data
46,Federal Bureau of Investigation,Federal Bureau of Investigation,Active,"The Federal Bureau of Investigation (FBI) is a federal agency in charge of investigating and enforcing federal laws. It serves as both a federal criminal investigative body and a domestic intelligence service. The FBI is part of the Department of Justice and plays a central role in maintaining national security, countering terrorism, and enforcing federal laws.","['Investigation', 'Law Enforcement', 'Counterterrorism', 'Intelligence', 'Criminal Justice', 'Public Safety', 'Cybercrime', 'National Security', 'Forensic Science', 'Federal Agency']",$9.5 billion (FY2023),"Office of Management and Budget, Federal Budget FY2023","35,000",FBI Human Resources Division
47,U.S. Geological Survey,Federal Geographic Data Committee,Active,The Federal Geographic Data Committee (FGDC) plays a crucial role in advancing the National Spatial Data Infrastructure (NSDI) by promoting collaboration and ensuring that geospatial data is effectively managed and used across federal agencies.,"['Geospatial', 'Data', 'Collaboration', 'Infrastructure', 'Standardization', 'Policy', 'Natural Resources', 'Geolocation', 'Federal Agency', 'Mapping']",Not publicly available,N/A,Not publicly available,N/A
48,Department of the Treasury - FINCEN,Financial Crimes Enforcement Network (FinCEN),Active,The Financial Crimes Enforcement Network (FinCEN) is a bureau of the U.S. Department of the Treasury that supports the national effort to combat money laundering and financial crime. It oversees the enforcement of regulations such as the Bank Secrecy Act and gathers financial intelligence to protect the U.S. financial system.,"['Financial Intelligence', 'Anti-Money Laundering', 'Regulatory Compliance', 'Bank Secrecy Act', 'Financial Crimes', 'Data Analysis', 'Suspicious Activity Reports', 'International Cooperation', 'Financial Regulations', 'Enforcement Actions']",Not publicly disclosed,U.S. Department of the Treasury budget,Approximately 300,U.S. Department of the Treasury
49,Federal Aviation Administration,,['Not Active'],The Federal Aviation Administration (FAA) was responsible for regulating civil aviation and ensuring safety in the national airspace system.,"['Aviation', 'Regulation', 'Safety', 'Civil Aviation', 'Airports', 'Air Traffic Control', 'Drones', 'Airspace Management', 'Certification', 'Transportation']",N/A,N/A,N/A,N/A
50,Environmental Protection Agency,Environmental Protection Agency,Active,The Environmental Protection Agency (EPA) is a federal agency responsible for the protection of human health and the environment by enforcing regulations based on laws passed by Congress. ENERGY STAR is one of their initiatives aimed at helping consumers and businesses save energy and protect the environment through efficiency and product certification.,"['Environmental Protection', 'Energy Efficiency', 'Climate Change', 'Regulation', 'Sustainability', 'Public Health', 'Energy Star', 'Certification', 'Consumer Awareness', 'Rebates']",$8 billion (2022),Federal Budget,"14,000",Agency Reports
51,Environmental Protection Agency,Environmental Protection Agency,['Active'],"The Environmental Protection Agency (EPA) is a federal agency responsible for protecting human health and the environment by enforcing regulations based on laws passed by Congress. The agency conducts environmental assessments, research, and education, while also enforcing standards and providing grants to support various environmental initiatives.","['Environmental Protection', 'Regulation', 'Health', 'Climate Change', 'Water Safety', 'Pollution Control', 'Sustainability', 'Ecosystem', 'Public Engagement', 'Research']",$9.2 billion,Fiscal Year 2023 Congressional Budget Justification,"14,000",U.S. Environmental Protection Agency Official Reports
52,Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,['Active'],"The Equal Employment Opportunity Commission (EEOC) is a federal agency that administers and enforces civil rights laws against workplace discrimination. The agency focuses on promoting equal opportunity in employment through education, outreach, and enforcement of federal laws prohibiting discrimination based on race, color, religion, sex, national origin, age, disability, and genetic information.","['Equal Opportunity', 'Discrimination', 'Employment', 'Civil Rights', 'Enforcement', 'Litigation', 'Mediation', 'Outreach', 'Education', 'Federal Agency']",Approximately $400 million (2024 budget estimate),Federal budget reports,"Over 2,000",U.S. Equal Employment Opportunity Commission (EEOC) annual reports
53,Office of Administration,Executive Office of the President,Active,"The Office of Administration is part of the Executive Office of the President and is responsible for the administrative functions of the White House, supporting the President and senior staff with various operational and administrative services.","['Administration', 'Executive', 'President', 'Operational', 'Support', 'White House', 'Government', 'Management', 'Federal', 'Leadership']",Not Available,N/A,Not Available,N/A
54,Export-Import Bank of the United States,Export-Import Bank of the United States,['Active'],"The Export-Import Bank of the United States (EXIM) is the official export credit agency of the U.S., dedicated to supporting American job creation, prosperity, and security through exporting. It unlocks financing solutions for U.S. companies to compete globally, providing various financial products to facilitate American exports.","['Export Credit Agency', 'Financing Solutions', 'American Jobs', 'Global Competition', 'Small Businesses', 'Insurance', 'Export Support', 'Trade Promotion', 'International Business', 'Economic Stability']",N/A,N/A,N/A,N/A
55,Office of Information Technology,Farm Credit Administration,Active,"The Farm Credit Administration (FCA) is an independent agency of the federal government responsible for regulating the Farm Credit System, a network of lending institutions that provide credit to farmers, ranchers, and rural homeowners. The FCA oversees the safety and soundness of these institutions and ensures they adhere to federal regulations.","['Federal', 'Regulation', 'Agriculture', 'Farm Credit', 'Lending', 'Rural Development', 'Oversight', 'Financial Services', 'Risk Management', 'Consumer Protection']",Approximately $22 million (Fiscal Year 2022),Farm Credit Administration Budget Reports,150,Farm Credit Administration Human Resources Office
56,Federal Communications Commission,Federal Communications Commission,['Active'],"The Federal Communications Commission (FCC) is an independent agency of the U.S. federal government that regulates interstate and international communications by radio, television, wire, satellite, and cable. It aims to ensure that all Americans have access to essential communication services and promotes competition and innovation within the telecommunications industry.","['Telecommunications', 'Regulatory', 'Innovation', 'Broadcasting', 'Consumer Protection', 'Spectrum Management', 'Public Safety', 'Wireless', 'Licensing', 'Enforcement']",Approximately $331 million (FY 2025 Budget),FCC Congressional Budget Justification FY 2025,"1,500",FCC Workforce Data
57,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,['Active'],"The Federal Deposit Insurance Corporation (FDIC) is an independent agency created by Congress to maintain stability and public confidence in the nation's financial system. The FDIC insures deposits, examines and supervises financial institutions for safety and soundness, and manages receiverships.","['Deposit Insurance', 'Financial Stability', 'Consumer Protection', 'Supervision', 'Banking Regulation', 'Risk Management', 'Receivership', 'Public Confidence', 'Financial Education', 'Data Analysis']",Not publicly disclosed,Internal FDIC documents,"Approximately 4,000",FDIC Human Capital Office
58,Federal Election Commission,Federal Election Commission,['Active'],"The Federal Election Commission (FEC) is an independent regulatory agency of the United States government that administers and enforces federal campaign finance laws. The FEC ensures transparency in campaign financing through the collection of data related to campaign contributions and expenditures, and provides resources to assist candidates and political committees.","['campaign finance', 'elections', 'transparency', 'reporting', 'enforcement', 'regulation', 'federal funding', 'political contributions', 'data analysis', 'compliance']",Approximately $70 million (as of fiscal year 2023),U.S. Government Budget Reports,300,Federal Election Commission Human Resources Department
59,Federal Financial Institutions Examination Council,Federal Financial Institutions Examination Council,Active,"The Federal Financial Institutions Examination Council (FFIEC) is a government inter-agency body that establishes uniform principles, standards, and report forms for the federal examination of financial institutions. It aims to promote consistency in the examination and supervision of financial institutions and foster the overall safety and soundness of the U.S. banking system.","['financial institutions', 'examination', 'supervision', 'regulatory body', 'uniform standards', 'reporting', 'safety', 'soundness', 'consumer compliance', 'inter-agency cooperation']",Not available,Not available,Not available,Not available
60,OPM Human Resource Solutions,Employee Express,Active,Employee Express is an automated system that enables Federal employees to electronically manage their discretionary personnel-payroll transactions. It simplifies the submission of changes to personnel-payroll information and enhances the efficiency of processing these transactions.,"['Federal', 'Payroll', 'Automation', 'Human Resources', 'Employee Management', 'Discretionary Transactions', 'Secure Access', 'Online System', 'Smartcard Login', 'Efficient Processing']",N/A,N/A,N/A,N/A
61,Federal Judicial Center,Federal Judicial Center,Active,"The Federal Judicial Center is the research and education agency of the judicial branch of the U.S. government. It conducts research on judicial activities, manages a public database of federal cases, and educates federal judiciary personnel on law and case management.","['Judicial', 'Research', 'Education', 'Federal Courts', 'Case Management', 'Justice', 'Public Database', 'Leadership', 'Ethics', 'Legal Resources']",Not publicly available,US Government Budget,Not publicly available,US Government Employment Statistics
62,Federal Voting Assistance Program,Federal Voting Assistance Program,['Active'],"The Federal Voting Assistance Program (FVAP) provides assistance to military members, their families, and U.S. citizens residing overseas in voting absentee during elections. It offers resources such as election forms, guidelines, and training materials for voting assistance officers to facilitate the voting process.","['Voting', 'Absentee', 'Military', 'Election', 'Assistance', 'Overseas', 'Citizens', 'Guidelines', 'Resources', 'Training']",Not publicly available,N/A,Not publicly available,N/A
